sample,library,date,fastq_R1,notes
RSV-F-LibB-250718-Suptav-5,RSV-F-LibB,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250718-Supt-5_S17_R1_001.fastq.gz,
RSV-F-LibB-250723-NoAntibody,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NoAb_S25_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-NirFab-1,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NirFab-1_S26_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-NirFab-2,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NirFab-2_S27_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-NirFab-3,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NirFab-3_S28_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-NirFab-4,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NirFab-4_S29_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-NirFab-5,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NirFab-5_S30_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-NirFab-6,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-NirFab-6_S31_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-Cles-1,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-Cles-1_S32_L001_R1_001.fastq.gz,
RSV-F-LibB-250723-Cles-2,RSV-F-LibB,20250723,/shared/ngs/illumina/cabel/20250724_LH00740_0110_B233MCLLT3/Unaligned/CS_250723/RSVF-LibB-250723-Cles-2_S33_L001_R1_001.fastq.gz,
